Datum,Feiertag
26.12.2022,Zweiter Weihnachtstag
31.12.2022,Silvester
01.01.2023,Neujahrstag
07.04.2023,Karfreitag
10.04.2023,Ostermontag
01.05.2023,Tag der Arbeit
18.05.2023,Christi Himmelfahrt
29.05.2023,Pfingstmontag
03.10.2023,Tag der Deutschen Einheit
24.12.2023,Heiligabend
25.12.2023,Erster Weihnachtstag
26.12.2023,Zweiter Weihnachtstag
31.12.2023,Silvester
01.01.2024,Neujahrstag
29.03.2024,Karfreitag
01.04.2024,Ostermontag
01.05.2024,Tag der Arbeit
09.05.2024,Christi Himmelfahrt
20.05.2024,Pfingstmontag
03.10.2024,Tag der Deutschen Einheit
24.12.2024,Heiligabend
25.12.2024,Erster Weihnachtstag
26.12.2024,Zweiter Weihnachtstag
31.12.2024,Silvester
